name,phone,grade,campus_name
김민수,010-1234-5001,9,플라토 강남점
이영희,010-1234-5002,10,플라토 강남점
박철수,010-1234-5003,11,플라토 강남점
최지원,010-1234-5004,12,플라토 강남점
정하늘,010-1234-5005,9,플라토 강남점
송미래,010-1234-5006,10,플라토 강남점
김태양,010-1234-5007,11,플라토 강남점
이바다,010-1234-5008,12,플라토 강남점
박구름,010-1234-5009,9,플라토 강남점
최별님,010-1234-5010,10,플라토 강남점
한소리,010-1234-5011,11,플라토 강남점
윤달빛,010-1234-5012,12,플라토 강남점
임새벽,010-1234-5013,9,플라토 강남점
조노을,010-1234-5014,10,플라토 강남점
강산들,010-1234-5015,11,플라토 강남점
홍바람,010-1234-5016,12,플라토 강남점
신물결,010-1234-5017,9,플라토 강남점
오하늘,010-1234-5018,10,플라토 강남점
황금빛,010-1234-5019,11,플라토 강남점
서은별,010-1234-5020,12,플라토 강남점
남궁해,010-1234-5021,9,플라토 서초점
동방달,010-1234-5022,10,플라토 서초점
서문산,010-1234-5023,11,플라토 서초점
북한별,010-1234-5024,12,플라토 서초점
중앙빛,010-1234-5025,9,플라토 서초점
김예린,010-1234-5026,10,플라토 서초점
이준호,010-1234-5027,11,플라토 서초점
박서연,010-1234-5028,12,플라토 서초점
최우진,010-1234-5029,9,플라토 서초점
정민지,010-1234-5030,10,플라토 서초점
송현수,010-1234-5031,11,플라토 서초점
김다은,010-1234-5032,12,플라토 서초점
이태민,010-1234-5033,9,플라토 서초점
박수빈,010-1234-5034,10,플라토 서초점
최예준,010-1234-5035,11,플라토 서초점
정서윤,010-1234-5036,12,플라토 서초점
송시우,010-1234-5037,9,플라토 서초점
김하은,010-1234-5038,10,플라토 서초점
이지훈,010-1234-5039,11,플라토 서초점
박채원,010-1234-5040,12,플라토 서초점
한도윤,010-1234-5041,9,플라토 분당점
윤서진,010-1234-5042,10,플라토 분당점
임건우,010-1234-5043,11,플라토 분당점
조예은,010-1234-5044,12,플라토 분당점
강민준,010-1234-5045,9,플라토 분당점
홍윤아,010-1234-5046,10,플라토 분당점
신준서,010-1234-5047,11,플라토 분당점
오채은,010-1234-5048,12,플라토 분당점
황시현,010-1234-5049,9,플라토 분당점
서예린,010-1234-5050,10,플라토 분당점
남시후,010-1234-5051,11,플라토 분당점
동하율,010-1234-5052,12,플라토 분당점
서승우,010-1234-5053,9,플라토 분당점
북예나,010-1234-5054,10,플라토 분당점
중지민,010-1234-5055,11,플라토 분당점
김아린,010-1234-5056,12,플라토 분당점
이하준,010-1234-5057,9,플라토 분당점
박시은,010-1234-5058,10,플라토 분당점
최준영,010-1234-5059,11,플라토 분당점
정다윤,010-1234-5060,12,플라토 분당점
송민성,010-1234-5061,9,플라토 판교점
김예원,010-1234-5062,10,플라토 판교점
이현준,010-1234-5063,11,플라토 판교점
박서현,010-1234-5064,12,플라토 판교점
최지호,010-1234-5065,9,플라토 판교점
정유진,010-1234-5066,10,플라토 판교점
송태현,010-1234-5067,11,플라토 판교점
김나연,010-1234-5068,12,플라토 판교점
이현우,010-1234-5069,9,플라토 판교점
박지윤,010-1234-5070,10,플라토 판교점
한준혁,010-1234-5071,11,플라토 판교점
윤서영,010-1234-5072,12,플라토 판교점
임도현,010-1234-5073,9,플라토 판교점
조예진,010-1234-5074,10,플라토 판교점
강현서,010-1234-5075,11,플라토 판교점
홍지우,010-1234-5076,12,플라토 판교점
신예준,010-1234-5077,9,플라토 판교점
오서연,010-1234-5078,10,플라토 판교점
황지훈,010-1234-5079,11,플라토 판교점
서채린,010-1234-5080,12,플라토 판교점
남현주,010-1234-5081,9,플라토 목동점
동예서,010-1234-5082,10,플라토 목동점
서준우,010-1234-5083,11,플라토 목동점
북하린,010-1234-5084,12,플라토 목동점
중시원,010-1234-5085,9,플라토 목동점
김예림,010-1234-5086,10,플라토 목동점
이현민,010-1234-5087,11,플라토 목동점
박서율,010-1234-5088,12,플라토 목동점
최지안,010-1234-5089,9,플라토 목동점
정유현,010-1234-5090,10,플라토 목동점
송태율,010-1234-5091,11,플라토 목동점
김나윤,010-1234-5092,12,플라토 목동점
이현진,010-1234-5093,9,플라토 목동점
박지현,010-1234-5094,10,플라토 목동점
한준서,010-1234-5095,11,플라토 목동점
윤서아,010-1234-5096,12,플라토 목동점
임도윤,010-1234-5097,9,플라토 목동점
조예서,010-1234-5098,10,플라토 목동점
강현진,010-1234-5099,11,플라토 목동점
홍지안,010-1234-5100,12,플라토 목동점
